,ポケモン名,オリジナルのタイプ1,オリジナルのタイプ2,HP,攻撃,防御,特攻,特防,素早,ノーマル,ほのお,みず,でんき,くさ,こおり,かくとう,どく,じめん,ひこう,エスパー,むし,いわ,ゴースト,ドラゴン,あく,はがね,フェアリー,タイプ和,テラスタイプ
13,テツノブジン,フェアリー,かくとう,74,130,90,120,60,116,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,2.0,0.25,0.5,1.0,0.0,0.25,2.0,2.0,20.695204478598793,かくとう
14,マスカーニャ,くさ,あく,76,110,70,81,70,123,1.0,2.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,2.0,0.0,4.0,1.0,0.5,1.0,0.5,1.0,2.0,23.829544154722125,あく
15,ソウブレイズ,ほのお,ゴースト,75,125,80,60,100,85,0.0,0.5,2.0,1.0,0.5,0.5,0.0,0.5,2.0,1.0,1.0,0.25,2.0,2.0,1.0,2.0,0.5,0.5,18.49542286178393,ノーマル
16,ドラミドロ,どく,ドラゴン,65,75,90,97,123,44,1.0,0.5,0.5,0.5,0.25,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,19.29899364162331,みず
17,ヌメルゴン,ドラゴン,なし,90,100,70,110,150,80,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,19.982086605402685,はがね
18,キラフロル,いわ,どく,83,55,90,130,81,86,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.25,4.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,22.654865087986597,ほのお
19,イルカマン,みず,なし,100,70,72,53,62,100,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,19.643573211380005,みず
20,タルップル,くさ,ドラゴン,110,85,80,100,80,30,1.0,1.0,0.25,0.25,0.25,4.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,23.355185021130897,くさ
21,ハピナス,ノーマル,なし,255,10,10,75,135,55,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,19.209505601582915,いわ
22,ハラバリー,でんき,なし,109,64,91,103,83,45,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,17.872004726148344,でんき
23,ソウブレイズ,ほのお,ゴースト,75,125,80,60,100,85,0.0,0.5,2.0,1.0,0.5,0.5,0.0,0.5,2.0,1.0,1.0,0.25,2.0,2.0,1.0,2.0,0.5,0.5,18.419224166982367,はがね
24,ノココッチ,ノーマル,なし,125,100,80,85,75,55,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,18.92485808098283,ノーマル
25,ガブリアス,ドラゴン,じめん,108,130,95,80,85,102,1.0,0.5,1.0,0.0,1.0,4.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0,22.212017663916832,はがね
26,ミミッキュ,ゴースト,フェアリー,55,90,80,50,105,96,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.25,1.0,2.0,0.0,1.0,2.0,1.0,17.132304769872338,ゴースト
27,イルカマン,みず,なし,100,70,72,53,62,100,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,18.484455070374082,みず
28,アーマーガア,ひこう,はがね,98,87,105,53,85,67,0.5,2.0,1.0,2.0,0.25,1.0,1.0,0.0,0.0,0.5,0.5,0.25,1.0,1.0,0.5,1.0,0.5,0.5,14.101749649222388,ドラゴン
29,ボーマンダ,ドラゴン,ひこう,95,135,80,110,80,100,1.0,0.5,0.5,1.0,0.25,4.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,20.96349430394642,ひこう
30,ウォッシュロトム,でんき,みず,50,65,107,105,107,86,1.0,0.5,0.5,1.0,2.0,0.5,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,17.300557966568995,くさ
31,ケンタロス(パルデア炎),かくとう,ほのお,75,110,105,30,70,100,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0,19.668744405359863,じめん
32,ディンルー,あく,じめん,155,110,125,55,80,45,1.0,1.0,2.0,0.0,2.0,2.0,2.0,0.5,1.0,1.0,0.0,2.0,0.5,0.5,1.0,0.5,1.0,2.0,21.98083960555863,じめん
33,パルシェン,みず,こおり,50,95,180,85,45,70,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,21.600316126940026,ほのお
34,グレイシア,こおり,なし,65,60,110,130,95,65,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,23.42324637436601,ほのお
35,ヘラクロス,むし,かくとう,80,125,75,40,95,85,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,4.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,22.751053143880966,いわ
36,リククラゲ,じめん,くさ,80,70,65,80,120,100,1.0,2.0,1.0,0.0,1.0,4.0,1.0,1.0,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,22.81557139740283,じめん
37,グレンアルマ,ほのお,エスパー,85,60,100,125,80,75,1.0,0.5,2.0,1.0,0.5,0.5,0.5,1.0,2.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,0.5,0.5,20.682951425803136,くさ
38,セグレイブ,ドラゴン,こおり,115,145,92,75,86,87,1.0,1.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,22.26388773336243,ドラゴン
39,キノガッサ,くさ,かくとう,60,130,80,60,60,70,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,4.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,24.011846651080344,ほのお
40,ウォッシュロトム,でんき,みず,50,65,107,105,107,86,1.0,0.5,0.5,1.0,2.0,0.5,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,18.236700758850475,フェアリー
41,ドラパルト,ドラゴン,ゴースト,88,120,75,100,75,142,0.0,0.5,0.5,0.5,0.5,2.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,2.0,2.0,1.0,2.0,19.23085488389803,ほのお
42,ムウマージ,ゴースト,なし,60,60,60,105,105,105,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0,18.617381067366907,ノーマル
43,コノヨザル,かくとう,ゴースト,110,115,80,50,90,90,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,2.0,2.0,0.25,0.5,2.0,1.0,1.0,1.0,2.0,19.019686355939026,ノーマル
44,オノノクス,ドラゴン,なし,76,147,90,60,70,97,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,19.694781471001136,はがね
45,ギャラドス,みず,ひこう,95,125,79,60,100,81,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,18.997754270760378,みず
46,ニンフィア,フェアリー,なし,95,65,65,110,130,60,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,19.23332906994573,ほのお
47,サザンドラ,あく,ドラゴン,92,105,90,125,90,98,1.0,0.5,0.5,0.5,0.5,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,2.0,0.5,1.0,4.0,21.275527727351957,どく
48,カラミンゴ,ひこう,かくとう,82,115,74,75,64,90,1.0,1.0,1.0,2.0,0.5,2.0,0.5,1.0,0.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,1.0,2.0,21.59529351628079,かくとう
49,ブラッキー,あく,なし,95,65,110,60,130,65,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,19.41410459761306,ゴースト
50,スコヴィラン,くさ,ほのお,65,108,65,108,65,75,1.0,1.0,1.0,0.5,0.25,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,20.43748311520525,くさ
51,エルレイド,エスパー,かくとう,68,125,65,65,115,80,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,20.59782358542586,はがね
52,ユキメノコ,こおり,ゴースト,70,80,70,80,70,110,0.0,2.0,1.0,1.0,1.0,0.5,0.0,0.5,1.0,1.0,1.0,0.5,2.0,2.0,1.0,2.0,2.0,1.0,21.00904867747805,かくとう
53,ラウドボーン,ほのお,ゴースト,104,75,100,110,75,66,0.0,0.5,2.0,1.0,0.5,0.5,0.0,0.5,2.0,1.0,1.0,0.25,2.0,2.0,1.0,2.0,0.5,0.5,17.91049991771464,ほのお
54,リングマ,ノーマル,なし,90,130,75,75,75,55,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,18.251426169805555,フェアリー
55,エーフィ,エスパー,なし,65,65,60,130,95,110,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,21.738766877115694,かくとう
56,タイカイデン,でんき,ひこう,70,70,60,105,60,125,1.0,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,17.189473041109807,あく
57,ミガルーサ,みず,エスパー,90,102,73,78,65,70,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,20.061603928335625,ノーマル
58,ヘイラッシャ,みず,なし,150,100,115,65,65,35,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,18.95422104323577,じめん
59,グレンアルマ,ほのお,エスパー,85,60,100,125,80,75,1.0,0.5,2.0,1.0,0.5,0.5,0.5,1.0,2.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,0.5,0.5,19.766787335302066,エスパー
60,キョジオーン,いわ,なし,100,100,130,45,90,35,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,22.379355491670278,みず
61,ファイアロー,ほのお,ひこう,78,81,71,74,69,126,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,19.580409859642206,ひこう
62,イルカマン,みず,なし,100,70,72,53,62,100,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,18.227543353729708,くさ
63,ユキノオー,くさ,こおり,90,92,75,92,85,60,1.0,4.0,0.5,0.5,0.5,1.0,2.0,2.0,0.5,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,26.155685555750434,くさ
64,カエンジシ,ほのお,ノーマル,86,68,72,109,66,106,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,0.5,0.5,19.361288525751924,ゴースト
65,ヘイラッシャ,みず,なし,150,100,115,65,65,35,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,19.109822790961783,くさ
66,サーフゴー,はがね,ゴースト,87,60,95,133,91,84,0.0,2.0,1.0,1.0,0.5,0.5,0.0,0.0,2.0,0.5,0.5,0.25,0.5,2.0,0.5,2.0,0.5,0.5,15.24611904894543,かくとう
67,ブロスター,みず,なし,71,73,88,120,89,59,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,18.302956868873952,あく
68,ストリンダー(ハイ),でんき,どく,75,98,70,114,70,75,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,4.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,18.833879820292857,ノーマル
69,デカヌチャン,フェアリー,はがね,85,75,77,70,105,94,0.5,2.0,1.0,1.0,0.5,0.5,1.0,0.0,2.0,0.5,0.5,0.25,0.5,1.0,0.0,0.5,1.0,0.5,13.490041808024944,はがね
70,ニンフィア,フェアリー,なし,95,65,65,110,130,60,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,19.11401829169998,ほのお
71,ミミズズ,はがね,なし,70,85,145,60,55,65,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,16.26535402549198,ドラゴン
72,ドオー,どく,じめん,130,75,60,45,100,20,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,18.49692766878457,ほのお
73,フローゼル,みず,なし,85,105,55,85,50,115,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,18.78249500432852,みず
74,ウルガモス,むし,ほのお,85,60,65,135,105,100,1.0,1.0,2.0,1.0,0.25,0.5,0.5,1.0,1.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,0.5,0.5,21.645090438384972,あく
75,ガブリアス,ドラゴン,じめん,108,130,95,80,85,102,1.0,0.5,1.0,0.0,1.0,4.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0,20.59108036444549,はがね
76,レントラー,でんき,なし,80,120,79,95,79,70,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,17.93008401834379,でんき
77,イッカネズミ,ノーマル,なし,74,75,70,65,75,111,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,19.76532301779658,ノーマル
78,ドヒドイデ,どく,みず,50,63,152,53,142,35,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,17.2186159073117,くさ
79,ベトベトン,どく,なし,105,105,75,65,100,50,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,17.598478827291075,どく
80,クエスパトラ,エスパー,なし,95,60,60,101,60,105,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,20.570158496452763,ノーマル
81,キラフロル,いわ,どく,83,55,90,130,81,86,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.25,4.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,21.87237125240262,ひこう
82,ヤドラン,みず,エスパー,95,75,110,100,80,30,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,21.36969104728967,ノーマル
83,フォレトス,むし,はがね,75,90,140,60,60,40,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,17.050546305250744,みず
84,ガケガニ,いわ,なし,70,100,115,35,55,75,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,23.001407276453243,くさ
85,ヒートロトム,でんき,ほのお,50,65,107,105,107,86,1.0,0.5,2.0,0.5,0.5,0.5,1.0,1.0,4.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.25,0.5,19.156098008828483,でんき
86,オトシドリ,ひこう,あく,70,103,85,60,85,82,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0,18.781378326623464,じめん
87,キョジオーン,いわ,なし,100,100,130,45,90,35,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,21.560631345252435,フェアリー
88,マフィティフ,あく,なし,80,120,90,60,70,85,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,19.75196918955941,かくとう
89,ムクホーク,ノーマル,ひこう,85,120,70,50,60,100,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,18.93058310564568,ノーマル
90,チルタリス,ドラゴン,ひこう,75,70,90,70,105,80,1.0,0.5,0.5,1.0,0.25,4.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,21.571076750701778,はがね
91,キラフロル,いわ,どく,83,55,90,130,81,86,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.25,4.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,21.584453015004843,くさ
92,ウインディ,ほのお,なし,90,110,80,100,80,95,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,19.63689738583148,ノーマル
93,リキキリン,ノーマル,エスパー,120,90,70,110,70,60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,1.0,2.0,1.0,1.0,18.661213653214574,かくとう
94,トドロクツキ,ドラゴン,あく,105,139,71,55,101,119,1.0,0.5,0.5,0.5,0.5,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,2.0,0.5,1.0,4.0,22.540779202765297,ひこう
95,キラフロル,いわ,どく,83,55,90,130,81,86,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.25,4.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,21.655481109701377,フェアリー
96,マスカーニャ,くさ,あく,76,110,70,81,70,123,1.0,2.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,2.0,0.0,4.0,1.0,0.5,1.0,0.5,1.0,2.0,23.59583033866376,くさ
97,ゴチルゼル,エスパー,なし,70,55,95,95,110,65,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,21.27991472372483,ひこう
98,ブロロローム,はがね,どく,80,119,90,54,67,90,0.5,2.0,1.0,1.0,0.25,0.5,1.0,0.0,4.0,0.5,1.0,0.25,0.5,1.0,0.5,1.0,0.5,0.25,16.52807242577034,くさ
99,カラミンゴ,ひこう,かくとう,82,115,74,75,64,90,1.0,1.0,1.0,2.0,0.5,2.0,0.5,1.0,0.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,1.0,2.0,21.396662453751098,かくとう
100,ヤドラン,みず,エスパー,95,75,110,100,80,30,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,20.598848908477883,フェアリー
101,ミガルーサ,みず,エスパー,90,102,73,78,65,70,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,20.01151736019111,ノーマル
102,ドンカラス,あく,ひこう,100,125,52,105,52,71,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0,19.652584642651252,ノーマル
103,ウェーニバル,みず,かくとう,85,120,80,85,75,85,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0,20.248405312622925,でんき
104,キョジオーン,いわ,なし,100,100,130,45,90,35,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,22.340158178901856,かくとう
105,ドドゲザン,あく,はがね,100,135,120,60,85,50,0.5,2.0,1.0,1.0,0.5,0.5,4.0,0.0,2.0,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,17.936562622318753,ひこう
106,カイリュー,ドラゴン,ひこう,91,134,95,100,100,80,1.0,0.5,0.5,1.0,0.25,4.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,21.168281114971872,ほのお
107,モトトカゲ,ドラゴン,ノーマル,70,95,65,85,65,121,1.0,0.5,0.5,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,19.156336606787036,フェアリー
108,ゾロアーク,あく,なし,60,105,60,120,60,105,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,19.207036922325067,あく
109,ルカリオ,かくとう,はがね,70,110,70,115,70,90,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,1.0,1.0,0.25,0.25,1.0,0.5,0.5,0.5,1.0,16.354839996631476,こおり
110,ラウドボーン,ほのお,ゴースト,104,75,100,110,75,66,0.0,0.5,2.0,1.0,0.5,0.5,0.0,0.5,2.0,1.0,1.0,0.25,2.0,2.0,1.0,2.0,0.5,0.5,18.02886495398698,フェアリー
111,オリーヴァ,くさ,ノーマル,78,69,90,125,109,39,1.0,2.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,21.176634507466414,ほのお
112,カバルドン,じめん,なし,108,112,118,68,72,47,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,19.28602318068927,くさ
113,ポットデス,ゴースト,なし,60,65,65,134,114,70,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0,17.461309362900675,かくとう
114,モトトカゲ,ドラゴン,ノーマル,70,95,65,85,65,121,1.0,0.5,0.5,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,19.42179296131722,ドラゴン
115,ブリムオン,エスパー,フェアリー,57,90,95,136,103,29,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0,19.94460505725947,はがね
116,シビルドン,でんき,なし,85,115,80,105,80,50,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,17.739358888597536,こおり
117,ドータクン,はがね,エスパー,67,89,116,79,116,33,0.5,2.0,1.0,1.0,0.5,0.5,1.0,0.0,2.0,0.5,0.25,1.0,0.5,2.0,0.5,2.0,0.5,0.5,16.414297595152732,ひこう
118,タギングル,どく,ノーマル,63,95,65,80,72,110,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,2.0,0.5,1.0,0.0,1.0,1.0,1.0,0.5,18.3268881243049,こおり
